ID,Movie,Year,Time,Rating,Metascore,Profit,Description
63,96,2018,158,8.4,71,5700000,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
948,300,2006,117,7.6,52,210610000,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
138,1917,2019,119,8.2,78,159230000,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
7,12 Angry Men,1957,96,9,96,4360000,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
400,12 Monkeys,1995,129,8,74,57140000,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
230,12 Years a Slave,2013,134,8.1,96,56670000,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
121,2001: A Space Odyssey,1968,149,8.3,84,56950000,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
810,21 Grams,2003,124,7.7,70,16290000,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
957,25th Hour,2002,135,7.6,68,13060000,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
72,3 Idiots,2009,170,8.4,67,6530000,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
799,3:10 to Yuma,2007,122,7.7,76,53610000,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
507,3-Iron,2004,88,7.9,72,240000,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
499,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97,1190000,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
930,50/50,2011,100,7.6,72,35010000,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
781,500 Days of Summer,2009,95,7.7,76,32390000,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
439,8?,1963,138,8,91,50000,A harried movie director retreats into his memories and fantasies.
168,A Beautiful Mind,2001,135,8.2,72,170740000,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
686,A Bronx Tale,1993,121,7.8,80,17270000,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
547,A Christmas Story,1983,93,7.9,77,20610000,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
120,A Clockwork Orange,1971,136,8.3,77,6210000,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
856,A Few Good Men,1992,138,7.7,62,141340000,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
563,A Fistful of Dollars,1964,99,7.9,65,14500000,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
751,A Man Called Ove,2015,116,7.7,70,3360000,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
